timestamp	stability	osc_a	osc_b	sensor	freq_a	freq_b	phase_a	phase_b	damping	wave_speed	description
2026-03-13T22:30:22.080149	0.7416	(64, 128)	(192, 128)	(128, 128)	1.00	1.00	0.00	0.00	0.995	0.1	baseline
2026-03-13T22:30:22.080184	0.6812	(64, 128)	(192, 128)	(128, 128)	1.00	1.00	0.82	0.00	0.995	0.1	IMPROVED: phase_a
2026-03-13T22:30:22.080436	0.6815	(83, 153)	(193, 126)	(136, 75)	1.84	1.77	0.16	0.76	0.9925233436300435	0.16368518781716374	IMPROVED: osc_b
2026-03-13T22:30:22.080481	0.6882	(46, 191)	(55, 97)	(44, 212)	1.99	1.77	1.77	1.19	0.9925233436300435	0.06601935473550603	IMPROVED: sensor
2026-03-13T22:30:22.080497	0.7030	(46, 191)	(55, 97)	(44, 212)	1.99	1.77	1.77	1.19	0.9925233436300435	0.1351807770837598	IMPROVED: wave_speed
2026-03-13T22:30:22.080645	0.7158	(158, 75)	(74, 42)	(168, 46)	1.00	0.85	2.09	1.53	0.9890991568398197	0.14165196677916783	IMPROVED: damping
2026-03-13T22:30:22.080661	0.7477	(158, 75)	(74, 42)	(168, 46)	1.00	0.85	1.72	1.53	0.9890991568398197	0.14165196677916783	IMPROVED: phase_a
2026-03-13T22:30:22.080678	0.7547	(158, 75)	(154, 115)	(168, 46)	1.00	0.85	1.72	1.53	0.9890991568398197	0.1933204744049773	IMPROVED: wave_speed
2026-03-13T22:30:22.080694	0.7719	(158, 75)	(154, 115)	(168, 46)	1.00	0.85	0.85	0.94	0.9890991568398197	0.1933204744049773	IMPROVED: phase_a
2026-03-13T22:30:22.081284	0.7996	(85, 87)	(68, 92)	(59, 100)	1.61	1.77	0.15	0.11	0.9822132152112645	0.07874031025198422	IMPROVED: sensor
2026-03-13T22:30:22.081760	0.8192	(199, 171)	(184, 157)	(175, 140)	1.00	1.06	4.95	5.20	0.9882647197585425	0.08197065980838908	IMPROVED: freq_b
2026-03-13T22:30:22.098766	0.8273	(195, 64)	(204, 101)	(200, 65)	1.17	1.35	0.10	0.24	0.9955402755070758	0.12001269665385503	IMPROVED: osc_b
2026-03-13T22:30:22.112053	0.8407	(142, 175)	(126, 160)	(130, 169)	0.93	1.08	4.17	3.79	0.9889463470643477	0.08454954611696189	IMPROVED: osc_a
2026-03-13T22:30:22.112115	0.8622	(142, 175)	(126, 160)	(130, 169)	0.93	1.08	4.17	3.79	0.9889463470643477	0.06445602741665679	IMPROVED: wave_speed
2026-03-13T22:30:22.347711	0.8729	(38, 100)	(32, 83)	(38, 101)	1.46	1.63	4.91	5.14	0.9901548658226649	0.08595898228972298	IMPROVED: sensor
2026-03-13T22:30:22.520164	0.8771	(123, 69)	(125, 61)	(118, 71)	1.04	1.07	6.13	5.99	0.9853049337130898	0.18570329235960603	IMPROVED: freq_b
2026-03-13T22:30:23.815481	0.8843	(41, 210)	(55, 220)	(62, 222)	1.15	1.15	6.10	5.93	0.9901444463893798	0.1478501672979433	IMPROVED: phase_a
2026-03-13T22:30:28.659916	0.8861	(205, 163)	(222, 162)	(207, 165)	1.21	1.18	1.17	1.22	0.9931735167534521	0.18556681462050922	IMPROVED: phase_b
2026-03-13T22:30:30.782699	0.8996	(103, 127)	(108, 122)	(105, 124)	1.26	1.18	5.03	4.89	0.9861324815030328	0.12846329825443728	IMPROVED: phase_a
2026-03-13T22:30:40.906299	0.9014	(36, 174)	(41, 170)	(41, 173)	0.99	1.19	4.39	4.28	0.9902629338167739	0.08618885243325508	IMPROVED: osc_a
2026-03-13T22:30:44.655592	0.9032	(45, 102)	(49, 97)	(48, 98)	1.14	1.21	1.30	0.96	0.9910332062183552	0.10746153497802928	IMPROVED: phase_a
2026-03-13T22:30:54.684602	0.9052	(82, 170)	(93, 171)	(86, 177)	1.98	1.95	5.97	5.96	0.9886254187613691	0.15376346150653786	IMPROVED: freq_a
2026-03-13T22:31:26.493510	0.9179	(133, 187)	(141, 188)	(133, 185)	1.40	1.41	3.95	3.98	0.9912144535183343	0.18987254154955052	IMPROVED: freq_b
2026-03-13T22:31:29.528438	0.9167	(51, 117)	(42, 110)	(48, 115)	1.09	1.08	1.75	1.78	0.9911803095268138	0.09068360445155575	IMPROVED: freq_b
2026-03-13T22:50:58.214353	0.9239	(39, 77)	(38, 78)	(44, 75)	1.01	1.00	2.52	2.54	0.9898353841023345	0.07662745399281427	IMPROVED: damping
2026-03-13T23:50:43.362090	0.9301	(224, 57)	(218, 55)	(220, 57)	1.41	1.46	0.40	0.37	0.9897273985386502	0.09560049703949625	IMPROVED: phase_b
